step,tr_loss,tr_acc,val_loss,val_acc
5620,1.063241,0.6974,1.112307,0.6789
5640,1.063459,0.6984,1.111256,0.6789
5660,1.064592,0.6980,1.108622,0.6789
5680,1.064366,0.6966,1.110203,0.6789
5700,1.064795,0.6945,1.109437,0.6789
5720,1.066575,0.6929,1.108382,0.6780
5740,1.066909,0.6933,1.105576,0.6799
5760,1.064291,0.6936,1.105568,0.6762
5780,1.062357,0.6940,1.107916,0.6707
5800,1.060871,0.6941,1.105471,0.6734
5820,1.061643,0.6931,1.105015,0.6753
5840,1.053852,0.6962,1.106211,0.6771
5860,1.051781,0.6971,1.105619,0.6780
5880,1.051818,0.6969,1.105397,0.6799
5900,1.010600,0.7050,1.104456,0.6817
5920,0.987967,0.7087,1.101218,0.6808
5940,1.025125,0.7050,1.100515,0.6808
5960,1.025499,0.7056,1.099974,0.6799
5980,1.022859,0.7070,1.097791,0.6771
6000,1.025523,0.7058,1.097679,0.6789
6020,1.016854,0.7086,1.096055,0.6771
6040,1.022250,0.7087,1.096485,0.6817
6060,1.012573,0.7119,1.095078,0.6845
6080,1.023197,0.7060,1.094375,0.6799
6100,1.019693,0.7077,1.095695,0.6780
6120,1.021480,0.7071,1.092870,0.6780
6140,1.019878,0.7081,1.091562,0.6817
6160,1.023485,0.7057,1.091036,0.6835
6180,1.026615,0.7047,1.092508,0.6771
6200,1.027521,0.7034,1.094511,0.6753
6220,1.030192,0.7019,1.091386,0.6817
6240,1.032459,0.7015,1.089589,0.6835
6260,1.029838,0.7029,1.091245,0.6762
6280,1.031052,0.7014,1.091777,0.6799
6300,1.033116,0.7007,1.090172,0.6799
6320,1.034710,0.6998,1.091015,0.6826
6340,1.035975,0.6991,1.089155,0.6845
6360,1.037859,0.6987,1.087878,0.6845
6380,1.044461,0.7100,1.088252,0.6835
6400,0.962889,0.7200,1.086749,0.6808
6420,0.982233,0.7090,1.087608,0.6826
6440,0.973925,0.7150,1.091830,0.6780
6460,0.974826,0.7172,1.087385,0.6762
6480,0.985583,0.7132,1.085172,0.6789
6500,0.999395,0.7100,1.084235,0.6799
6520,0.993439,0.7127,1.082691,0.6826
6540,0.998139,0.7112,1.081444,0.6817
6560,0.999406,0.7113,1.082079,0.6826
6580,1.008271,0.7069,1.080983,0.6835
6600,1.009239,0.7098,1.082352,0.6854
6620,1.012427,0.7076,1.083926,0.6854
6640,1.012642,0.7061,1.078939,0.6835
6660,1.012581,0.7062,1.077960,0.6854
6680,1.011566,0.7066,1.079993,0.6817
6700,1.013059,0.7059,1.081051,0.6799
6720,1.014116,0.7053,1.080326,0.6845
6740,1.015623,0.7043,1.077044,0.6835
6760,1.018921,0.7038,1.076261,0.6863
6780,1.024201,0.7016,1.077693,0.6854
6800,1.022269,0.7023,1.075674,0.6863
6820,1.021082,0.7030,1.075637,0.6817
6840,1.020079,0.7028,1.074855,0.6789
6860,1.020250,0.7012,1.074633,0.6826
6880,1.062999,0.6850,1.074193,0.6863
6900,1.060403,0.6763,1.072767,0.6854
6920,1.074642,0.6767,1.071832,0.6854
6940,1.068145,0.6806,1.072224,0.6808
6960,1.060282,0.6835,1.070925,0.6835
6980,1.044144,0.6908,1.071606,0.6835
7000,1.037165,0.6904,1.070490,0.6826
7020,1.028766,0.6947,1.073483,0.6835
7040,1.027490,0.6933,1.077198,0.6826
7060,1.025706,0.6940,1.076988,0.6854
7080,1.033501,0.6932,1.071997,0.6845
